Id,fullname,address,birthday,cmnd,email,gender,maxcredit,password,phone,program,role,schoolId,schoolyear,status
2020a003,STUDENT 20200003,   ,1999-02-08 00:00:00,123456789,student20200003@gmail.com,nam,24,$2b$12$6RLdbr/NzUVdNZrg7FZKX.fzVrhV7WTaYYm6.btIdCutn2cEMg1zq,123456,  ,ROLE_STUDENT,KCNTT,65,1
20200004,STUDENT 20200004,   ,1999-02-08 00:00:00,123456789,student20200004@gmail.com,nam,8,$2b$12$GkCTtCseeAcgVPo3TazPVO4QkBhA17BJUqn.9ZguP.oOfl1CuUhve,123456,  ,ROLE_STUDENT,KCK,65,1
20200005,STUDENT 20200005,   ,1999-02-08 00:00:00,123456789,student20200005@gmail.com,nam,8,$2b$12$nd6Oh2fCbJI3UD6U9EHywe6YTofHjFfWSU4ZFDriw2VSfF1nB473C,123456,  ,ROLE_STUDENT,KDTVT,65,1
20200007,STUDENT 20200007,   ,1999-02-08 00:00:00,123456789,student20200007@gmail.com,nam,8,$2b$12$zrcCMt18zXyKUXxoy2v2wuTC2lLcpNr8e0znLw9fOvoxgHTJXS3h.,123456,  ,ROLE_STUDENT,KTTD,65,1
20200009,STUDENT 20200009,   ,1999-02-08 00:00:00,123456789,student20200009@gmail.com,nu,8,$2b$12$6taldvyTDOjZHP/gJy4KTuUGJwOqXoXTTG6XeFyqIS5X4Wm9Q2QXe,123456,  ,ROLE_STUDENT,VKHVCNNL,65,1
20200013,STUDENT 20200013,   ,1999-02-08 00:00:00,123456789,student20200013@gmail.com,nu,24,$2b$12$xJF.YPvdykN96QpP/cADsOR8dLHsVybmoNe.2YuF08jXJHeUwO7v2,123456,  ,ROLE_STUDENT,VKHVCNMT,65,1
20200020,STUDENT 20200020,   ,1999-02-08 00:00:00,123456789,student20200020@gmail.com,nam,14,$2b$12$9S/ro2917hG6icTFK2mBNuc6/qEz9KqFK3xJQjjcF5g2/lONdvK/y,123456,  ,ROLE_STUDENT,VDTLT,65,1
20200029,STUDENT 20200029,   ,1999-02-08 00:00:00,123456789,student20200029@gmail.com,nu,18,$2b$12$8xiuUw9JpvoD8xTI7t62ferE4qPHroIImw7h6k38J02ozlujfosJ2,123456,  ,ROLE_STUDENT,VCNSHVTP,65,1
20200034,STUDENT 20200034,   ,1999-02-08 00:00:00,123456789,student20200034@gmail.com,nu,8,$2b$12$tUwc75.jZDIA5cJmxoG.QuPJg1A0EHDUiNkvgORdvdxg3ALFOIbY6,123456,  ,ROLE_STUDENT,KKHVCNVL,65,1
20200043,STUDENT 20200043,   ,1999-02-08 00:00:00,123456789,student20200043@gmail.com,nu,14,$2b$12$qJcsqE6ma4uKIfW4IgLbgujMgj/HNZ5MYyWAkxUF6kFak0FpIjlHG,123456,  ,ROLE_STUDENT,KML,65,1
